,player_id,school,county,height,weight,seasons,jersey_number,from_year,to_year,draft_year,draft_round,draft_number
321,203585,USA,USA,6-4,205,3,19,2016,2019,Undrafted,Undrafted,Undrafted
322,1628035,USA,USA,6-7,215,2,28,2017,2019,Undrafted,Undrafted,Undrafted
323,1629162,USA,USA,5-11,185,0,6,2019,2019,Undrafted,Undrafted,Undrafted
324,203463,USA,USA,6-3,195,6,16,2013,2019,2013,1,7
325,203895,USA,USA,6-5,179,3,52,2015,2019,2014,2,58
326,1629740,Italy,Italy,6-9,236,0,20,2019,2019,Undrafted,Undrafted,Undrafted
327,1629001,USA,USA,6-2,200,1,0,2018,2019,2018,2,46
328,1629002,USA,USA,6-9,225,1,7,2018,2019,2018,2,49
329,203114,USA,USA,6-7,222,7,22,2012,2019,2012,2,39
330,101139,USA,USA,,,14,,2005,2019,2005,2,34
331,203121,USA,USA,6-6,225,5,21,2012,2019,2012,2,46
332,1626259,USA,USA,6-7,210,2,13,2017,2019,Undrafted,Undrafted,Undrafted
333,201988,Australia,Australia,6-1,180,10,8,2009,2019,2009,2,55
334,200794,USA,USA,6-7,257,13,4,2006,2019,2006,2,47
335,1629003,USA,USA,6-5,205,1,18,2018,2019,2018,2,54
336,1628378,USA,USA,6-1,215,2,45,2017,2019,2017,1,13
337,1628513,Canada,Canada,6-3,218,2,15,2017,2019,Undrafted,Undrafted,Undrafted
338,1629690,France,France,6-5,190,0,20,2019,2019,Undrafted,Undrafted,Undrafted
339,1628370,USA,USA,6-3,200,2,1,2017,2019,2017,1,11
340,1629760,USA,USA,6-2,199,0,31,2019,2019,Undrafted,Undrafted,Undrafted
341,202734,USA,USA,6-3,191,8,55,2011,2019,2011,2,55
342,1629630,USA,USA,6-3,174,0,12,2019,2019,2019,1,2
343,1629752,USA,USA,6-7,232,0,16,2019,2019,Undrafted,Undrafted,Undrafted
344,202693,USA,USA,6-8,245,8,88,2011,2019,2011,1,13
345,1628420,USA,USA,6-2,183,2,11,2017,2019,2017,2,51
346,202694,USA,USA,6-8,218,8,31,2011,2019,2011,1,14
347,1628405,USA,USA,6-8,230,2,15,2017,2019,Undrafted,Undrafted,Undrafted
348,1626144,Democratic Republic of the Congo,Democratic Republic of the Congo,6-3,200,4,15,2015,2019,2015,1,7
349,1627749,USA,USA,6-4,180,2,5,2016,2019,2016,1,29
350,1627750,Canada,Canada,6-4,215,3,27,2016,2019,2016,1,7
351,1629058,Bosnia and Herzegovina,Bosnia and Herzegovina,6-9,217,1,13,2018,2019,2018,1,29
352,203488,USA,USA,6-10,240,6,33,2013,2019,2013,2,44
353,1629004,Ukraine,Ukraine,6-7,205,1,19,2018,2019,2018,2,47
354,1627846,Egypt,Egypt,6-5,225,2,11,2017,2019,2016,2,58
355,1626204,USA,USA,6-7,245,4,22,2015,2019,2015,1,27
356,203894,USA,USA,6-0,175,5,5,2014,2019,2014,1,24
357,2403,Brazil,Brazil,6-11,250,17,42,2002,2018,2002,1,7
358,203526,Brazil,Brazil,6-1,180,4,19,2015,2019,2013,2,47
359,1627777,USA,USA,6-7,230,3,31,2016,2019,2016,2,50
